Affinity Row ID;Organization Id;Name;Website;Status;Description;Owner;Investment Size;Last Email;Reminders;CB Location (Address) - Not available for export;CB Location (City) - Not available for export;CB Location (State) - Not available for export;CB Location (Country) - Not available for export;CB Industry - Not available for export;CB Investment Stage - Not available for export;Source;CB Last Funding Date - Not available for export;CB Investors - Not available for export;Lost Reason;Date Added;CB Description - Not available for export
110510684;280169897;AIHunters;aihunters.com;Incoming;AIHunters leverages its reusable cognitive pipelines to ensure intelligent business automation. This ensures 50x faster processing than the manual one.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510682;286177175;Pet Royalz;pet-royalz.de;Incoming;Das Unternehmen entwickelt eine Datenbank, in der Haustierbesitzer Anweisungen für Notfälle hinterlegen können sollen. Anhand der Chipnummer und des Rufnamens des Tieres, der auf einem Halsbandanhänger vermerkt ist, sollen Tierärzte die Anweisungen abrufen können.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510680;286177172;Mediceo;medi.ceo;Incoming;Das Unternehmen entwickelt eine Mobile App, die Ärzte bei alltäglichen Entscheidungen unterstützen können soll. Dabei sollen beispielsweise Dosierungen für Medikamente mithilfe von Fragen über den Patienten herausgefunden werden können.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510674;284157880;goodBot;goodbot.de;Incoming;goodBot is a pipetting robot, easy and intuitive to use. Its automated labware detection allows co-working.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510673;286177164;E-TERRY;e-terry.com;Incoming;Das Unternehmen entwickelt einen multifunktionalen, transportierbaren Roboter für die Landwirtschaft. An diesem sollen verschiedene Aufsätze und Sensoren befestigt werden können, um Arbeit auf dem Feld zu automatisieren.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510672;286177163;8Buddy;8buddy.io;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Software, mit der firmeninternes Wissen gespeichert und der passende Experte für ein Problem gefunden werden können soll.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510670;286177162;Verture Farm;verture-farm.de;1 Lost;Das Unternehmen entwickelt vertikale Anbaumethoden für Microgreens (junge Pflanzen kurz nach der Sprösslingsphase). Diese sollen besonders schnell wachsen und nährstoffreich sein.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;2 Out of focus;06.12.2022;
110510668;284115519;symovo;symovo.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Plug-and-Play-Robotiklösungen für den Logistikbereich.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510666;286177160;str-ing.org;str-ing.org;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte blockchainbasierte Software zur Ausstellung von Inhalten wie Kunst, Architektur oder Forschung.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510665;286177159;PPA-CONNECT;ppa-connect.de;Incoming;Das Unternehmen entwickelt einen Online-Marktplatz für Power-Purchase-Agreements (Verträge zwischen Abnehmer und Erzeuger erneuerbarer Energien). Somit sollen sich Abnehmer und Erzeuger in kürzester Zeit finden können.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510664;286177157;mediform;mediform.cloud;Incoming;Das Unternehmen entwickelt Software, mit der Arztpraxen Online-Termine vergeben können sollen.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510662;286177154;freispace;freispace.com;Incoming;Das Unternehmen entwickelt Software, mit der Firmenräume und deren Belegung verwaltet werden können sollen. Dabei sollen Räume gebucht und deren Auslastung analysiert werden können.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510657;285682630;DigitalRheumaLab;digitalrheumalab.de;1 Lost;Wir entwickeln verschiedene digitale Lösungen zur Überbrückung von Lücken im Behandlungspfad bei Menschen mit rheumatischen Erkrankungen - für eine reibungslose Therapiebegleitung und mehr Lebensqualität.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;1 Sector / Business Model;06.12.2022;
110510656;286177153;Critical Match;criticalmatch.com;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Software, mit der sich Nutzer zum Fahrradfahren vernetzen können sollen.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510652;286177150;Techtive Games;techtive.games;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Videospiele.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110510651;286177149;Flowsight;flowsight.de;Incoming;Das EXIST-geförderte Unternehmen entwickelt KI-gestützte Software zur Erstellung von Wartungsprognosen. Durch die Auswertung von Prozess-Sensordaten soll erkannt werden, wann Verschleißteile ausgetauscht werden müssen. Die Software soll sich einfach in die interne Infrastruktur integrieren lassen.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.12.2022;
110433368;283666103;Greencast;greencast.io;Outreach done;We take a data-driven approach towards your corporate climate goals. Greencast helps companies cut carbon by providing real-time emission insights with minimal human input.  Companies use Greencast's software to measure their carbon footprint comprehen...;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;LinkedIn Navigator;;;;06.10.2022;
110433249;285295932;Affic;affic.com;Waitlist / later;Infrastructure for the future of work. Affic’s platform and API enables workspaces and a new generation of platforms to seamlessly connect.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;LinkedIn Navigator;;;;06.10.2022;
110281167;284720350;cap-on;cap-on.de;Incoming;Pay per Use X as a Service Platform;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;06.08.2022;
110264096;286134658;Microbify;microbify.com;1 Lost;Das Regensburger Startup Microbify verknüpft Mikrobiologie und Technik. Das Unternehmen kümmert sich dabei um die Optimierung von Erdgasspeichern und der dazugehörigen Infrastruktur. “Vor allem die Quellen und Ursachen mikrobieller Korrosion werden erkannt und behoben”, heißt es zum Konzept.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;deutsche startups;;;2 Out of focus;06.08.2022;
110219968;282578469;Reveall;reveall.co;Outreach done;Reveall helps businesses better understand their customers by facilitating the gathering, sharing and use of customer insights between teams.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Network;;;;06.07.2022;
110219966;286010316;RevMap;revmap.com;To be contacted;The product sales feedback loop is broken in most companies, for cultural and operational reasons. Companies that fix this can build better products, speed up product market fit and sell more efficiently.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Network;;;;06.07.2022;
110175352;286110549;Conveyor-System;conveyor-system.com;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Rollfördersysteme.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;06.05.2022;
110175350;286110546;bladerun;bladerun.io;1 Lost;Das Unternehmen entwickelt Software im Bereich der Cybersecurity. Dabei soll die Software in bereits vorhandene Systeme integriert und beispielsweise Sicherheitslücken ausfindig machen können.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;1 Sector / Business Model;06.05.2022;
109993104;286069694;HashGuild;hashguild.xyz;1 Lost;Das Berliner Startup HashGuild, das von Daniel Wintermeyer und Marcel Schadt gegründet wurde, “bietet NFT-Investor:innen einen Marktplatz für den Kauf und Verkauf von NFTs und NFT-Projekten eine Lösung, um ihre Projekte zu starten und ihren Kund*innen ein Staking-Dienstprogramm anzubieten”.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;deutsche startups;;;No info;06.01.2022;
109873342;286011156;ESKITEC;eskitec.com;1 Lost;Das EXIST-geförderte Unternehmen entwickelt individuelle, KI-gestützte Software zum Treffen von Entscheidungen. Diese soll besonders transparent und sicher sein.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;Team;05/29/2022;
109873340;286011155;Ananas Automation;ananas-automation.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Hardware im Bereich der Automatisierungstechnik.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873339;282641880;Urban Ray;urban-ray.com;Incoming;URBAN RAY - NEXT LEVEL LOGISTICS;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873337;286011152;Uify Technologies;uify.de;Call / Meeting -> move to dealflow;Das Unternehmen entwickelt noch nicht näher bekannte Software.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873335;286011150;The Quota House;the-quota-house.com;Incoming;Das Unternehmen entwickelt eine noch nicht näher bekannte Plattform und andere Produkte im Bereich Elektromobilität, insbesondere für den Handel von Treibhausgasquoten.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873334;286011149;RooWalk Mobility;roowalk.com;Incoming;Das EXIST-geförderte Unternehmen entwickelt eine elektrische Gehhilfe, welche es den Patienten ermöglichen soll, aufrecht zu stehen und zu gehen, während sie dabei die Hände frei haben. Dadurch sollen die Nutzer besser mit ihrem sozialen Umfeld interagieren können.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873332;286011147;Ozone Health;ozonehealth.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Software, welche Nutzer im Hinblick auf gesundheitsbezogene Informationen unterstützen soll.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873331;286011145;Meneiti;orangesalamander.com;Incoming;Das Unternehmen entwickelt eine Mobile App, welche als Kommunikationsmittel zwischen Pharma-, Healthcare-, Medizintechnikunternehmen und Ärzten weltweit dienen soll. So soll jeder Arzt innerhalb von Sekunden die neusten medizinischen Informationen und News erhalten und somit seinen Patienten die bestmögliche Behandlung bieten können.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873330;286011143;ink&;ink-and.com;Incoming;Das Unternehmen entwickelt Poster, Aufkleber und Kleidung bedruckt mit Motiven von verschiedenen Tattoo-Künstlern. Somit erhalten diese die Möglichkeit, ihre Kunst für mehr Menschen zugänglich zu machen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873329;286011142;Health Rebel;health-rebel.com;Incoming;Das Unternehmen entwickelt eine noch nicht näher bekannte Plattform im Bereich Medizin und Werbung.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873328;286011140;aya.de;aya.de;Incoming;Das Unternehmen entwickelt eine Plattform, auf der Nutzer telemedizinische Dienstleistungen für physische und psychische Anliegen buchen können sollen. Dafür stehen unterschiedliche Ärzte und Berater zur Verfügung.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873325;286011138;Ocos Solutions;ocos-solutions.com;Incoming;Das Unternehmen entwickelt Software, welche künstliche und menschliche Intelligenz vereinen soll. Dadurch soll es möglich sein, die Entscheidungsfindung der KI zu verstehen, zu überprüfen, zu ändern und zu erweitern, wodurch neue Anwendungsbereiche für künstliche Intelligenz entstehen sollen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/29/2022;
109873324;286011137;Koredo;koredo.net;1 Lost;Das Unternehmen entwickelt noch nicht näher bekannte KI-gestützte Software im Bereich Medizintechnik.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;1 Sector / Business Model;05/29/2022;
109779384;285820824;Ivy;getivy.io;Outreach done;Ivy quantifies the climate impact of products and services. We provide a frictionless and climate-neutral checkout experience.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;deutsche startups;;;;05/25/2022;
109634002;285941030;WE4ALL;we4all.eu;Incoming;Das Unternehmen entwickelt eine Plattform, auf der 3D-Druck-Anbieter und Nutzer mit einem Druckauftrag zusammenfinden können sollen. Dabei soll der Kunde lediglich seine Idee einreichen müssen. Passende Materialien und Designs werden vom Unternehmen ausgewählt.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109634001;285941029;RAYNY;rayny.de;1 Lost;Das Unternehmen entwickelt eine Trinkflasche, die mit der passenden Mobile App verbunden werden können soll. Dabei soll der Nutzer durch regelmäßiges Trinken Tokens sammeln, die für Spenden an NGOs eingetauscht werden können. Somit sollen Nutzer motiviert werden, genug Flüssigkeit zu sich zu nehmen.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;2 Out of focus;05/22/2022;
109633998;285941027;performall;perform-all.de;Incoming;Das Unternehmen entwickelt eine Mobile App, mit der Nutzer personalisierte Trainings- und Ernährungspläne erhalten sollen. Des Weiteren sollen Trainingserfolge festgehalten und analysiert werden können.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633997;285516593;moot.eco;moot.eco;Incoming;MOOT möchte die Einstellung zur Kleidung grundlegend und langfristig verändern: Kleidung ist keine Einweg-Wegwerfware, sondern aufwändig produziertes Konsumgut. Wir wollen für ethischen Konsum sensibilisieren und die Arbeit aller an der Produktion Bete...;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633996;284982063;Exazyme;exazyme.com;1 Lost;Exazymes machine learning technology can accelerate protein engineering well beyond standard techniques like directed evolution or rational design.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;2 Out of focus;05/22/2022;
109633995;285941026;Broken Mirrors;broken-mirrors.com;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte Videospiele und Spielwaren.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633993;285941025;ALAISEDATA;alaisedata.com;Incoming;Das Unternehmen entwickelt verschiedene Softwaretools in den Bereichen Gaming, AR und VR. Dabei gibt es beispielsweise Mobile Games, aber auch AR-Software, mit der ein technisches Verständnis von mechanischen Prozessen erlangt werden können soll.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633992;285941024;ZeroWork;zerowork.io;Incoming;Das Unternehmen entwickelt sogenannte Taskbots. Diese führen eine bestimmte Aufgabe im Zusammenhang mit sozialen Netzwerken automatisiert aus, wie zum Beispiel das Versenden von Nachrichten oder das Liken von Kommentaren. Darüber hinaus sollen Nutzer eigene Taskbots ohne Programmierkenntnisse erstellen können.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633988;285941022;Quickfoot;quickfoot.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte elektrische Motorräder.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633985;285941020;Parklolo;parklolo.com;Incoming;Das Unternehmen entwickelt eine Mobile App zur Verwaltung von Parkplätzen in Hotels, Einkaufszentren oder auf Firmengeländen. Über die App oder eine Slack-Integration sollen sich Parkplätze finden, buchen und organisieren lassen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633983;285941019;MetaBit Games;metabitgames.gg;1 Lost;Das Unternehmen entwickelt diverse Mobile Videospiele, unter anderem im Play-and-Earn Format.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;1 Sector / Business Model;05/22/2022;
109633981;285941018;MELLOW Games;mellow-games.com;Incoming;Das Unternehmen entwickelt Videospiele.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633980;285941016;LQS Tech;leav.app;Incoming;Das Unternehmen entwickelt eine Mobile App zur Suchtbehandlung. Basierend auf kognitiver Verhaltenstherapie und achtsamkeitsbasierter Stressreduzierung soll sich die Bahandlung einer Sucht besonders effektiv gestalten lassen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633978;285941015;Frankzone;frankzone.de;Incoming;Das Unternehmen entwickelt eine noch nicht näher bekannte Plattform zur Vermittlung von Dienstleistungen im Bereich Logistik und Kundengewinnung.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633974;285941014;Finstep Solutions;finstep.de;Incoming;Das Unternehmen entwickelt noch nicht näher bekannte digitale Angebote im Bereich Finanzdienstleistungen.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633973;285941013;AgrarGate;agrargate.de;Incoming;Das Unternehmen entwickelt eine noch nicht näher bekannte Plattform zur Beratung und Vermarktung von Produkten im Bereich der digitalen Landwirtschaft.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - START;;;;05/22/2022;
109633971;285941011;Spirits Manufaktur;schwarz-gebrannter.de;1 Lost;Das Unternehmen entwickelt schwarz gebrannten Gin.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - START;;;2 Out of focus;05/22/2022;
109596905;263737109;voize GmbH;voize.de;To be contacted;;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Network;;;;05/20/2022;
109538784;255145391;InLine-Med;inline-med.com;1 Lost;Radiologists perform safe, precise & easy interventions with the InLine-Med surgical tools and assistance devices.;Christina Schmidt <christina.schmidt@alstin.de>;;05/29/2020;;;;;;;;Startupdetector - GROW;;;1 Sector / Business Model;05/18/2022;
109538780;224664038;finn.auto;finn.auto;Incoming;All-inclusive car subscriptions with flexible terms.  The best part? Delivery right to your doorstep. Available in Pennsylvania, New Jersey, Massachusetts, Connecticut and Washington, D.C.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538779;263730604;Culcha;culcha.com;Incoming;CULCHA: Ihr digitaler Personal Trainer für modernes Arbeiten und Führen​ Beständiger wirtschaftlicher Erfolg braucht eine moderne Kultur der Zusammenarbeit und Führung. Culcha unterstützt Sie dabei, diesen Veränderungsprozess in Ihrem Unternehmen umzus...;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538775;263734388;EntwicklerHeld GmbH;tradelink.co;1 Lost;Das Unternehmen entwickelt Software mit Künstlicher Intelligenz, mit der Besteller, Zulieferer und Logistikdienstleister Informationen und Status aller Lieferungen aller Lieferungen auf einer Plattform nachvollziehen können sollen.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;Too much raised;05/18/2022;
109538770;263459186;Ninebarc;ninebarc.com;Incoming;Das Unternehmen entwickelt Software, mit der Nutzer ihre digitalen und analogen Vermögensgegenstände, Zugangsdaten, Willenserklärungen usw. für ihren Todesfall verwalten können sollen. Es soll beispielsweise eine Patientenverfügung erstellt, Zugangsdaten zu Cloudspeichern sowie Zugänge zu digitalen Geldbörsen abgelegt werden können.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;10.02.2021;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538766;225000544;Living Brain;livingbrain.de;Incoming;Rehabilitation für den Kopf. In realistischen, virtuellen Umgebungen. Basierend auf aktuellen wissenschaftlichen Erkenntnissen.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538762;285904283;Global Esports Entertainment;app.gaming-stars.net;1 Lost;Das Unternehmen entwickelt eine Gaming Plattform, auf der Spieler auf legale Weise Videospiele gegeneinander um echtes Geld spielen können. Zusätzlich soll es einen Spielmodus auf dem Konzept von Sportwetten geben, bei dem Spieler auf sich selbst zu verschiedenen Wettquoten setzen können.;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;1 Sector / Business Model;05/18/2022;
109538758;285904278;arttac solutions;arttacsolutions.de;Incoming;Das Unternehmen ist eine IT-Dienstleister, der auch eigene KI-basierte Chatbot-Software entwickelt.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538751;282434943;ALFA AI;alfa-ai.com;1 Lost;AI guidance tracks your fitness success and adapts your training plan and nutrition plan to your real achievements! Keep your personal best fitness level long-term. ALFA AI Fitness Coach – Just Do It Right!;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;2 Out of focus;05/18/2022;
109538747;281106668;ZIMPLY NATURAL GmbH;zimplynatural.de;Incoming;Das Unternehmen entwickelt personalisierbare Sprays aus pflanzlichen Essenzen als naturheilkundliches Heilmittel.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538744;284088762;Tribu Box;tribu-box.com;Incoming;THE SUSTAINABLE RENTAL BOX FOR PREMIUM BABY TOYS;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538742;262386996;THE CLIMATE CHOICE;theclimatechoice.com;Outreach done;Das Unternehmen entwickelt eine Plattform, welche basierend auf international anerkannten Standards die Klimaperformance von Unternehmen überprüft und daraufhin Empfehlungen ausspricht. Somit soll es für Unternehmen möglich sein, die Emissionen ihrer Lieferkette wesentlich zu reduzieren.;Christina Schmidt <christina.schmidt@alstin.de>;;06.09.2016;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538741;285904270;Skayle Internet;skayle.io;Incoming;Das Unternehmen entwickelt eine Plattform, welche die Zusammenarbeit zwischen Freelancern im Bereich eCommerce und Online Händlern technologisch unterstützt.;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538732;278753097;Lupiter;lupiter.com;Incoming;Lupiter is the messenger platform that increases your sales and customer loyalty. Chat on your customers preferred channel WhatsApp.;Philipp Rehsmann <philipp.rehsmann@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538728;178973588;loots;loots.com;Incoming;'@loots helps live streamers worldwide to make money with Sponsored Messages. Streaming? Join us at https://t.co/2XydG5IPyW;Sophie Tribius <sophie.tribius@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;;05/18/2022;
109538725;263735318;Local Life GmbH;locallife.de;1 Lost;Local - Life GmbH, DEIN REGIONALER LEBENSMITTEL-LIEFERDIENST;Christina Schmidt <christina.schmidt@alstin.de>;;;;;;;;;;Startupdetector - GROW;;;1 Sector / Business Model;05/18/2022;
